artistSlug,stageId,dayId,start,end,note
karaoke-fr,plus,fr,2026-07-31T15:00:00+02:00,2026-07-31T18:00:00+02:00,
luisa-schweig,main,fr,2026-07-31T18:30:00+02:00,2026-07-31T19:00:00+02:00,
ok-danke-tschuess,main,fr,2026-07-31T19:45:00+02:00,2026-07-31T20:35:00+02:00,
paula-carolina,main,fr,2026-07-31T21:35:00+02:00,2026-07-31T22:35:00+02:00,
greeen,main,fr,2026-07-31T23:35:00+02:00,2026-08-01T01:05:00+02:00,
leeta,second,fr,2026-07-31T18:00:00+02:00,2026-07-31T18:30:00+02:00,
magdalena-wawra,second,fr,2026-07-31T19:00:00+02:00,2026-07-31T19:45:00+02:00,
adam-angst,second,fr,2026-07-31T20:35:00+02:00,2026-07-31T21:35:00+02:00,
heckspoiler,second,fr,2026-07-31T22:35:00+02:00,2026-07-31T23:35:00+02:00,
vicky,second,fr,2026-08-01T01:05:00+02:00,2026-08-01T02:00:00+02:00,
dj-wellness,party,fr,2026-07-31T18:00:00+02:00,2026-07-31T19:30:00+02:00,
fondue92,party,fr,2026-07-31T19:30:00+02:00,2026-07-31T21:00:00+02:00,
little-bastard,party,fr,2026-07-31T21:00:00+02:00,2026-07-31T22:30:00+02:00,
evva,party,fr,2026-07-31T22:30:00+02:00,2026-08-01T00:00:00+02:00,
lpp-b2b-leolaessig,party,fr,2026-08-01T00:00:00+02:00,2026-08-01T01:30:00+02:00,
chri5i,party,fr,2026-08-01T01:30:00+02:00,2026-08-01T03:00:00+02:00,
turntable-tennis,plus,sa,2026-08-01T12:00:00+02:00,2026-08-01T13:00:00+02:00,
yoga,plus,sa,2026-08-01T13:00:00+02:00,2026-08-01T14:00:00+02:00,
pub-quiz,party,sa,2026-08-01T13:30:00+02:00,2026-08-01T15:30:00+02:00,
karaoke-sa,plus,sa,2026-08-01T14:00:00+02:00,2026-08-01T17:00:00+02:00,
date-im-dorf,plus,sa,2026-08-01T15:00:00+02:00,2026-08-01T16:00:00+02:00,
magda,main,sa,2026-08-01T16:45:00+02:00,2026-08-01T17:15:00+02:00,
laurenz-nikolaus,main,sa,2026-08-01T18:00:00+02:00,2026-08-01T18:45:00+02:00,
uche-yara,main,sa,2026-08-01T19:30:00+02:00,2026-08-01T20:30:00+02:00,
die-sterne,main,sa,2026-08-01T21:30:00+02:00,2026-08-01T22:30:00+02:00,
bibiza,main,sa,2026-08-01T23:30:00+02:00,2026-08-02T01:00:00+02:00,
af90,second,sa,2026-08-01T16:15:00+02:00,2026-08-01T16:45:00+02:00,
julia-effekt,second,sa,2026-08-01T17:15:00+02:00,2026-08-01T18:00:00+02:00,
nenda,second,sa,2026-08-01T18:45:00+02:00,2026-08-01T19:30:00+02:00,
spilif,second,sa,2026-08-01T20:30:00+02:00,2026-08-01T21:30:00+02:00,
poebel-mc,second,sa,2026-08-01T22:30:00+02:00,2026-08-01T23:30:00+02:00,
kochkraft-durch-kma,second,sa,2026-08-02T01:00:00+02:00,2026-08-02T02:00:00+02:00,
el-capintero-mad-mav,party,sa,2026-08-01T09:00:00+02:00,2026-08-01T13:00:00+02:00,
mia,party,sa,2026-08-01T16:00:00+02:00,2026-08-01T18:00:00+02:00,
donna-the-summer,party,sa,2026-08-01T18:00:00+02:00,2026-08-01T19:30:00+02:00,
mischmasch,party,sa,2026-08-01T19:30:00+02:00,2026-08-01T21:00:00+02:00,
stur-sensibel,party,sa,2026-08-01T21:00:00+02:00,2026-08-01T22:30:00+02:00,
system-breakdown,party,sa,2026-08-01T22:30:00+02:00,2026-08-02T00:00:00+02:00,
killkid,party,sa,2026-08-02T00:00:00+02:00,2026-08-02T01:30:00+02:00,
2-mal-3-streifen,party,sa,2026-08-02T01:30:00+02:00,2026-08-02T03:00:00+02:00,
musikverein,second,so,2026-08-02T11:00:00+02:00,2026-08-02T14:00:00+02:00,
